year,run,farmDesign,biomass,catch,bmNull,ctchNull,bmDiff,ctchDiff
7,15,large,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
7,15,small,52740.99293590903,5913.51885226845,53987.39611850196,6053.270273458875,-1246.403182592927,-139.75142119042448
8,1,large,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,1,small,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,3,large,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,3,small,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,9,large,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,9,small,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,15,large,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
8,15,small,46624.6647425871,5227.733089345407,49641.90541557556,5566.037482348155,-3017.2406729884606,-338.30439300274793
9,1,large,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,1,small,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,3,large,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,3,small,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,9,large,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,9,small,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,15,large,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
9,15,small,41135.04943247016,4612.21673629669,46207.42328223174,5180.950404674264,-5072.373849761585,-568.7336683775738
10,1,large,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,1,small,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,3,large,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,3,small,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,9,large,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,9,small,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,15,large,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
10,15,small,36422.850902207545,4083.8672818561445,43453.2022275942,4872.1367623200795,-7030.351325386655,-788.269480463935
11,1,large,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,1,small,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,3,large,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,3,small,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,9,large,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,9,small,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,15,large,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
11,15,small,32470.890787890785,3640.7586231355017,41204.82512634033,4620.040250003161,-8733.934338449544,-979.2816268676597
12,1,large,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,1,small,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,3,large,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,3,small,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,9,large,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,9,small,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,15,large,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
12,15,small,29168.372469030674,3270.4678255717613,39339.95395099303,4410.943867121829,-10171.58148196236,-1140.4760415500673
13,1,large,26376.184305237028,2957.3971678816492,37773.164892783614,4235.2695743661225,-11396.980587546586,-1277.8724064844732
13,1,small,26376.184305237028,2957.3971678816492,37773.164892783614,4235.2695743661225,-11396.980587546586,-1277.8724064844732
13,3,large,26376.184305237028,2957.3971678816492,37773.164892783614,4235.2695743661225,-11396.980587546586,-1277.8724064844732
13,3,small,26376.184305237028,2957.3971678816492,37773.164892783614,4235.2695743661225,-11396.980587546586,-1277.8724064844732
13,9,large,26376.184305237028,2957.3971678816492,37773.164892783614,4235.2695743661225,-11396.980587546586,-1277.8724064844732
