year,run,farmDesign,biomass,catch,bmNull,ctchNull,bmDiff,ctchDiff
100,3,small,88.51935467644273,4.405082536021416,17789.332167438388,2531.025735984479,-17700.812812761946,-2526.6206534484577
100,9,large,27.87098499583479,0.7465668478783893,17789.332167438388,2531.025735984479,-17761.461182442552,-2530.2791691366006
100,9,small,64.39657181861674,2.5522593300880487,17789.332167438388,2531.025735984479,-17724.935595619772,-2528.473476654391
100,15,large,16.941831822749805,0.36127001144103227,17789.332167438388,2531.025735984479,-17772.390335615637,-2530.664465973038
100,15,small,45.52350923739359,1.4821655336422908,17789.332167438388,2531.025735984479,-17743.808658200993,-2529.543570450837
101,1,large,60.0089820374207,2.3413938718569285,17772.467220132898,2529.356959326199,-17712.458238095478,-2527.0155654543423
101,1,small,89.2745089513184,4.305918116773657,17772.467220132898,2529.356959326199,-17683.19271118158,-2525.0510412094254
101,3,large,47.44889633062934,1.6499773766353276,17772.467220132898,2529.356959326199,-17725.01832380227,-2527.7069819495637
101,3,small,81.9519412146198,3.6724327040844753,17772.467220132898,2529.356959326199,-17690.51527891828,-2525.684526622115
101,9,large,25.04230184800152,0.6530229089228718,17772.467220132898,2529.356959326199,-17747.424918284894,-2528.703936417276
101,9,small,59.03273087282284,2.1530395741770576,17772.467220132898,2529.356959326199,-17713.434489260075,-2527.203919752022
101,15,large,15.030404990644408,0.3130872780005322,17772.467220132898,2529.356959326199,-17757.436815142253,-2529.0438720481984
101,15,small,41.32803984787623,1.249808822431061,17772.467220132898,2529.356959326199,-17731.139180285023,-2528.107150503768
102,1,large,55.18005185866526,2.1682631236617493,17756.088888576658,2527.737218701741,-17700.908836717994,-2525.568955578079
102,1,small,83.32013265667841,4.331171593943701,17756.088888576658,2527.737218701741,-17672.76875591998,-2523.4060471077973
102,3,large,43.33805833491616,1.5081391286869643,17756.088888576658,2527.737218701741,-17712.75083024174,-2526.2290795730537
102,3,small,76.1822313774149,3.654693225694675,17756.088888576658,2527.737218701741,-17679.906657199244,-2524.082525476046
102,9,large,22.490347568263957,0.5810043838926542,17756.088888576658,2527.737218701741,-17733.598541008396,-2527.156214317848
102,9,small,54.22694861676356,2.0671233746739635,17756.088888576658,2527.737218701741,-17701.861939959894,-2525.670095327067
102,15,large,13.326960127402753,0.27407896296344236,17756.088888576658,2527.737218701741,-17742.761928449254,-2527.4631397387775
102,15,small,37.562603772469416,1.1762663729976561,17756.088888576658,2527.737218701741,-17718.52628480419,-2526.560952328743
103,1,large,50.637945372155336,1.9037077525896409,17740.18033490573,2526.164768709421,-17689.542389533573,-2524.2610609568314
103,1,small,77.27550850913279,3.5885981116160277,17740.18033490573,2526.164768709421,-17662.904826396596,-2522.576170597805
103,3,large,39.51920470443297,1.3246714487963016,17740.18033490573,2526.164768709421,-17700.661130201297,-2524.8400972606246
103,3,small,70.43075307749761,3.042124676964693,17740.18033490573,2526.164768709421,-17669.749581828233,-2523.1226440324563
103,9,large,20.175999526082457,0.5074716274671714,17740.18033490573,2526.164768709421,-17720.004335379646,-2525.657297081954
103,9,small,49.6381650852705,1.7495078005183866,17740.18033490573,2526.164768709421,-17690.54216982046,-2524.4152609089024
103,15,large,11.805335920557807,0.23724253975133697,17740.18033490573,2526.164768709421,-17728.37499898517,-2525.92752616967
103,15,small,34.04810051772932,0.9948564360161073,17740.18033490573,2526.164768709421,-17706.132234388002,-2525.169912273405
104,1,large,46.4875103528053,1.7598886844529027,17724.72544966336,2524.637941529757,-17678.237939310555,-2522.878052845304
104,1,small,72.00915340371891,3.607407977878796,17724.72544966336,2524.637941529757,-17652.71629625964,-2521.0305335518783
104,3,large,36.03591787812059,1.2079783289748958,17724.72544966336,2524.637941529757,-17688.68953178524,-2523.429963200782
104,3,small,65.36465964999738,3.0201032477207614,17724.72544966336,2524.637941529757,-17659.360790013365,-2521.6178382820362
104,9,large,18.090326675430035,0.4500940150593948,17724.72544966336,2524.637941529757,-17706.635122987933,-2524.1878475146978
104,9,small,45.51479266766562,1.6670990648715542,17724.72544966336,2524.637941529757,-17679.210656995696,-2522.970842464885
104,15,large,10.450836802302211,0.20700464516316208,17724.72544966336,2524.637941529757,-17714.27461286106,-2524.430936884594
104,15,small,30.889645646620774,0.9298116603864593,17724.72544966336,2524.637941529757,-17693.83580401674,-2523.7081298693706
105,1,large,42.59162990982247,1.5415303242468865,17709.708813358284,2523.155142775502,-17667.117183448463,-2521.613612451255
105,1,small,66.68784020175411,2.9779752603540763,17709.708813358284,2523.155142775502,-17643.02097315653,-2520.177167515148
105,3,large,32.806684134165934,1.059094095755202,17709.708813358284,2523.155142775502,-17676.90212922412,-2522.0960486797467
105,3,small,60.340551274758845,2.509170666127665,17709.708813358284,2523.155142775502,-17649.368262083524,-2520.6459721093743
105,9,large,16.202421127629943,0.3927178194269374,17709.708813358284,2523.155142775502,-17693.506392230654,-2522.762424956075
105,9,small,41.59973605786503,1.4149260039682425,17709.708813358284,2523.155142775502,-17668.109077300418,-2521.740216771534
105,15,large,9.243012599723922,0.17902470228275089,17709.708813358284,2523.155142775502,-17700.46580075856,-2522.9761180732194
105,15,small,27.95391270047797,0.787831514296339,17709.708813358284,2523.155142775502,-17681.754900657805,-2522.367311261206
106,1,large,39.03430053144919,1.4217481971599648,17695.11566036696,2521.7148475940353,-17656.08135983551,-2520.2930993968753
106,1,small,62.04264954250425,2.9924982082159683,17695.11566036696,2521.7148475940353,-17633.073010824453,-2518.722349385819
106,3,large,29.86369459636082,0.9629867855899121,17695.11566036696,2521.7148475940353,-17665.251965770596,-2520.7518608084456
106,3,small,55.90505104271131,2.485178489931396,17695.11566036696,2521.7148475940353,-17639.210609324247,-2519.229669104104
106,9,large,14.502856235679584,0.3470486205403883,17695.11566036696,2521.7148475940353,-17680.61280413128,-2521.3677989734947
106,9,small,38.0733741763727,1.3385767448990125,17695.11566036696,2521.7148475940353,-17657.042286190586,-2520.3762708491363
106,15,large,8.169098046286265,0.15563075105908783,17695.11566036696,2521.7148475940353,-17686.946562320674,-2521.559216842976
106,15,small,25.31378885250092,0.7319304540345042,17695.11566036696,2521.7148475940353,-17669.801871514457,-2520.9829171400006
107,1,large,35.7030411762249,1.242803168206197,17680.93184502065,2520.3155970052253,-17645.228803844424,-2519.072793837019
107,1,small,57.36976941875408,2.4600450861526317,17680.93184502065,2520.3155970052253,-17623.562075601894,-2517.8555519190727
107,3,large,27.141582808658345,0.8429742306860288,17680.93184502065,2520.3155970052253,-17653.79026221199,-2519.472622774539
107,3,small,51.52802854304308,2.0602713401160138,17680.93184502065,2520.3155970052253,-17629.403816477607,-2518.2553256651095
107,9,large,12.967564453066363,0.3025588172987189,17680.93184502065,2520.3155970052253,-17667.964280567583,-2520.0130381879267
